Final.Sample.Name,Reads.PF.Sample
AE_10,41130.33961
AE_5,6620.203338
AE_6,1276.183776
AE_7,7683.689818
AE_8,1914.275664
AE_9,7710.27698
Blank_C_1,59608.4172
Blank_C_2,131978.6722
Blank_C_3,50037.03888
Blank_C_4,14117.78302
Blank_C_5,21136.79379
Blank_C_6,29166.11671
Blank_C_7,186.110134
Blank_D_1,930.55067
Blank_D_10,3376.569574
Blank_D_11,4572.991864
Blank_D_12,2924.58782
Blank_D_13,60592.1422
Blank_D_14,33473.23696
Blank_D_15,85052.33124
Blank_D_16,124986.2486
Blank_D_17,8561.066164
Blank_D_18,12921.36073
Blank_D_19,24619.71201
Blank_D_2,18132.44448
Blank_D_20,664.67905
Blank_D_21,13479.69113
Blank_D_3,1355.945262
Blank_D_4,824.202022
Blank_D_5,451.981754
Blank_D_6,31106.97954
Blank_D_7,11272.95669
Blank_D_8,186960.9232
Blank_D_9,2924.58782
J_IsoCtrl_1,2844.826334
J_IsoCtrl_2,7683.689818
J_IsoCtrl_3,265.87162
J_IsoCtrl_4,877.376346
J_IsoCtrl_5,691.266212
J_IsoCtrl_6,1488.881072
Water1_NEGA,105790.3176
Water1_NEGB,15766.18707
Water1_NEGC,4705.927674
Water1_NEGD,1781.339854
Water2_NEGA,23290.35391
Water2_NEGB,49930.69024
Water2_NEGC,5902.349964
Water2_NEGD,451.981754
WVB_BAL_B1,52961.6267
WVB_BAL_B10,95926.4805
WVB_BAL_B2,7710.27698
WVB_BAL_B3,41422.7984
WVB_BAL_B4,221019.0777
WVB_BAL_B5,137774.6735
WVB_BAL_B6,34749.42073
WVB_BAL_B7,209427.0751
WVB_BAL_B8,143756.7849
WVB_BAL_B9,121370.3945
WVB_Cecum_B1,32462.9248
WVB_Cecum_B10,194644.613
WVB_Cecum_B2,35972.43019
WVB_Cecum_B3,82712.66098
WVB_Cecum_B4,93693.15889
WVB_Cecum_B5,167313.0105
WVB_Cecum_B6,17095.54517
WVB_Cecum_B7,35095.05384
WVB_Cecum_B8,125278.7073
WVB_Cecum_B9,189433.5293
WVB_Cecum_L1,36690.28356
WVB_Cecum_L10,46235.07472
WVB_Cecum_L2,61894.91314
WVB_Cecum_L3,18930.05934
WVB_Cecum_L4,140911.9586
WVB_Cecum_L5,32276.81467
WVB_Cecum_L6,29751.03428
WVB_Cecum_L7,31293.08967
WVB_Cecum_L8,50621.95645
WVB_Cecum_L9,24114.55593
WVB_CLEAN_RINSE_1,4121.01011
WVB_CLEAN_RINSE_2,199217.6049
WVB_HomogCtrl_1,100260.1879
WVB_HomogCtrl_2,15633.25126
WVB_Lung_L1,664.67905
WVB_Lung_L10,6699.964824
WVB_Lung_L2,1940.862826
WVB_Lung_L3,53.174324
WVB_Lung_L4,1329.3581
WVB_Lung_L5,478.568916
WVB_Lung_L6,4759.101998
WVB_Lung_L7,1701.578368
WVB_Lung_L8,8002.735762
WVB_Lung_L9,13373.34249
WVB_PBS_1,30149.84171
WVB_PBS_2,96086.00347
WVB_Tongue_B1,13718.97559
WVB_Tongue_B10,6540.441852
WVB_Tongue_B2,46022.37742
WVB_Tongue_B3,4812.276322
WVB_Tongue_B4,4945.212132
WVB_Tongue_B5,9385.268186
WVB_Tongue_B6,13586.03978
WVB_Tongue_B7,3536.092546
WVB_Tongue_B8,744.440536
WVB_Tongue_B9,40066.85313
WVB_Tongue_L1,7922.974276
WVB_Tongue_L10,10076.5344
WVB_Tongue_L2,20073.30731
WVB_Tongue_L3,9305.5067
WVB_Tongue_L4,22678.84919
WVB_Tongue_L5,45437.45986
WVB_Tongue_L6,15845.94855
WVB_Tongue_L7,11379.30534
WVB_Tongue_L8,19568.15123
WVB_Tongue_L9,60990.94963
WVB_USED_RINSE_1,6859.487796
WVB_USED_RINSE_2,62160.78476
ZymoMock_POSA,287832.6158
ZymoMock_POSB,218014.7284
ZymoMock_POSC,263159.7295
ZymoMock_POSD,135222.3059
